SITIO,SECCION,ESPECIE,RIQUEZASPP,COORD Y,COORD X,ALTITUD,BIO19,BIO18,BIO17,BIO16,BIO15,BIO14,BIO13,BIO12,BIO11,BIO10,BIO9,BIO8,BIO7,BIO6,BIO5,BIO4,BIO3,BIO2,BIO1,DAP,CLOROFILA,PH,AFE,GROSOR,AGUA,DENS_ESTOM,LONG_ESTOM,TANINOS,Ct,Nt,Pt
SJT,Quercus,Q. obtusata,2,19.651219,-101.115427,2200,36.45617,205.25499,32.36473,535.49121,97.63831,7.67184,190.47821,866.07202,14.62098,19.04571,16.97883,16.18633,22.85146,5.53165,29.5521,192.31551,64.66496,15.11749,16.97717,10.82251082,46.66,5.58,87.584,0.126,39.531,822.429,15.874,104.395,438.697,44.426,2.039
SMM,Quercus,Q. obtusata,3,19.607332,-101.147835,2310,46.22134,257.71237,36.74232,676.10663,98.32265,8.50876,241.46736,1097.29102,12.78124,16.94423,14.84855,15.16504,22.02832,3.26656,26.46072,180.52313,66.8374,15.18094,15.29656,20.53093965,44.41,5.72,75.993,0.166,33.912,691.973,16.352,152.013,449.863,46.758,2.419
SMM,Lobatae,Q. castanea,3,19.607538,-101.147735,2310,46.22134,257.71237,36.74232,676.10663,98.32265,8.50876,241.46736,1097.29102,12.78124,16.94423,14.84855,15.16504,22.02832,3.26656,26.46072,180.52313,66.8374,15.18094,15.29656,22.02699262,47.79,5.81,63.072,0.187,29.455,364.665,16.018,88.597,491.183,32.145,1.595
SMM,Lobatae,Q. calophylla,3,19.608734,-101.146,2310,41.29697,239.67911,33.00133,633.89929,98.93572,7.37397,224.65155,1022.37579,13.2734,17.86251,15.74037,16.10702,23.20319,4.06882,27.43139,186.67813,65.97774,15.43317,15.90365,25.46473135,47.42,6.12,72.704,0.127,36.309,424.275,20.484,78.179,426.926,41.224,1.383
CHI,Lobatae,Q. crassipes,3,19.754739,-101.269915,2440,47.006,242.35776,36.80632,633.46979,97.43996,7.44822,231.43343,1030.86316,12.37657,16.93266,14.90771,15.20056,22.71795,3.40369,26.28154,187.32233,65.70284,15.06503,15.03813,60.54807741,52.16,5.55,56.46,0.182,33.25,405.086,20.146,148.667,489.357,39.945,2.716
CHI,Lobatae,Q. castanea,3,19.754817,-101.269977,2440,47.006,242.35776,36.80632,633.46979,97.43996,7.44822,231.43343,1030.86316,12.37657,16.93266,14.90771,15.20056,22.71795,3.40369,26.28154,187.32233,65.70284,15.06503,15.03813,52.48917749,48.14,5.76,58.675,0.173,31.437,358.244,18.303,97.419,480.378,37.671,2.356
CHI,Quercus,Q. obtusata,3,19.755978,-101.273124,2440,46.88618,239.11171,35.79018,629.42145,98.46729,7.44262,229.47501,1024.18872,12.45354,16.92336,14.905,15.19163,22.68957,3.37573,26.2593,184.90112,66.68778,15.05766,15.03139,29.50725745,47.71,5.71,68.952,0.181,38.907,775.15,16.981,96.011,461.927,44.821,3.226
BSJ,Lobatae,Q. castanea,3,19.718539,-101.619955,2231,41.13993,212.2406,26.38051,585.30896,101.56248,6.21079,218.60486,931.88245,12.70022,17.77165,14.76309,16.04399,23.46578,2.50556,26.97139,204.60501,66.8092,16.24997,15.59948,32.5311943,47.45,5.93,71.226,0.104,36.005,377.814,18.082,92.221,472.682,27.919,1.275
BSJ,Quercus,Q. obtusata,3,19.717985,-101.62035,2231,41.13993,212.2406,26.38051,585.30896,101.56248,6.21079,218.60486,931.88245,12.70022,17.77165,14.76309,16.04399,23.46578,2.50556,26.97139,204.60501,66.8092,16.24997,15.59948,42.01680672,45.58,5.91,83.057,0.101,36.773,815.717,16.223,129.84,451.774,38.398,2.821
BSJ,Lobatae,Q. calophylla,3,19.708192,-101.600118,2231,43.0467,221.80997,27.275,621.82983,101.68217,6.20007,228.6694,988.71423,12.33369,16.78186,13.7759,16.04944,23.45319,2.54227,25.99529,197.12856,66.92781,15.88769,15.11806,22.95008913,44.95,5.93,78.903,0.09,39.855,478.048,20.32,64.811,465.965,43.475,2.466
SJR,Lobatae,Q. resinosa,3,19.870825,-100.775862,2080,34.68892,186.87402,25.24233,515.49658,102.03483,5.78509,196.1089,816.19611,13.69688,18.93117,15.87515,16.85275,23.08774,4.82443,28.48129,215.58643,64.57742,15.07498,16.6725,22.2179781,46.41,5.34,73.795,0.115,36.026,646.08,17.374,133.876,473.314,36.541,1.163
SJR,Lobatae,Q. castanea,3,19.870409,-100.776397,2080,34.68892,186.87402,25.24233,515.49658,102.03483,5.78509,196.1089,816.19611,13.69688,18.93117,15.87515,16.85275,23.08774,4.82443,28.48129,215.58643,64.57742,15.07498,16.6725,16.99770817,51.6,5.7,71.054,0.158,33.743,385.532,16.807,119.564,463.32,38.449,1.583
SJR,Quercus,Q. obtusata,3,19.870447,-100.776481,2080,34.68892,186.87402,25.24233,515.49658,102.03483,5.78509,196.1089,816.19611,13.69688,18.93117,15.87515,16.85275,23.08774,4.82443,28.48129,215.58643,64.57742,15.07498,16.6725,14.00560224,41.5,5.48,76.093,0.135,36.965,699.269,16.739,226.324,481.305,41.84,1.911
COR,Quercus,Q. glaucoides,2,19.894914,-100.868014,1943,27.05461,161.70381,20.20395,471.35907,105.74081,5.32906,176.56142,720.16016,14.79305,19.96459,16.86915,18.9928,24.30635,4.6663,30.27106,226.70811,65.67907,16.22336,17.82193,20.46727782,41.04,5.35,96.037,0.113,40.027,538.752,17.852,166.976,465.621,46.71,3.283
COR,Lobatae,Q. castanea,2,19.894815,-100.868001,1943,27.05461,161.70381,20.20395,471.35907,105.74081,5.32906,176.56142,720.16016,14.79305,19.96459,16.86915,18.9928,24.30635,4.6663,30.27106,226.70811,65.67907,16.22336,17.82193,21.86783804,45.35,4.9,61.075,0.259,35.748,358.478,18.972,172.204,497.903,39.206,2.179
CAG,Quercus,Q. obtusata,5,19.634111,-101.348385,2480,50.18818,264.58481,38.61341,701.07581,97.46492,8.53802,253.13014,1143.28516,11.39756,15.87325,13.75382,14.24135,21.9111,2.08706,25.07902,185.6051,66.43027,15.03174,14.17208,19.41685765,44.01,5.41,81.538,0.124,40.594,877.253,15.008,154.414,454.787,52.46,2.879
CAG,Quercus,Q. rugosa,5,19.634427,-101.348333,2480,50.18818,264.58481,38.61341,701.07581,97.46492,8.53802,253.13014,1143.28516,11.39756,15.87325,13.75382,14.24135,21.9111,2.08706,25.07902,185.6051,66.43027,15.03174,14.17208,13.11433664,47.07,5.41,52.919,0.208,33.064,579.12,16.687,95.704,492.226,42.939,2.54
CAG,Lobatae,Q. calophylla,5,19.634039,-101.348415,2480,50.18818,264.58481,38.61341,701.07581,97.46492,8.53802,253.13014,1143.28516,11.39756,15.87325,13.75382,14.24135,21.9111,2.08706,25.07902,185.6051,66.43027,15.03174,14.17208,21.46313071,50.53,5.87,67.889,0.108,37.09,644.985,17.686,74.331,433.332,43.648,2.284
CAG,Quercus,Q. deserticola,5,19.636502,-101.350079,2480,50.18818,264.58481,38.61341,701.07581,97.46492,8.53802,253.13014,1143.28516,11.39756,15.87325,13.75382,14.24135,21.9111,2.08706,25.07902,185.6051,66.43027,15.03174,14.17208,19.38502674,49.88,5.41,62.798,0.217,37.62,602.239,17.822,142.693,446.484,52.543,2.575
CAG,Lobatae,Q. castanea,5,19.63413,-101.348367,2480,50.18818,264.58481,38.61341,701.07581,97.46492,8.53802,253.13014,1143.28516,11.39756,15.87325,13.75382,14.24135,21.9111,2.08706,25.07902,185.6051,66.43027,15.03174,14.17208,18.90756303,45.31,5.6,72.196,0.131,32.929,399.832,18.5,115.966,445.115,48.233,2.446
CAR,Lobatae,Q. crassifolia,1,19.693543,-100.912062,2430,49.42786,268.06522,40.06653,696.59845,98.31721,8.47825,256.0831,1130.94812,12.4049,17.12901,14.05323,15.20413,21.33591,3.56125,25.39058,183.45586,65.8817,14.56653,15.07745,68.81843647,53.11,5.36,61.386,0.199,37.366,285.49,19.36,121.412,484.335,30.484,1.548
