SECCION,POP,ESPECIE,RIQUEZA,ALT,DAP,CLOROFILA,PH,AFE,GROSOR,AGUA,DENS_ESTOM,LONG_ESTOM,TANINOS,Ct,Nt,Pt,C:N,C:P,N:P,COORD Y,COORD X,BIO1,BIO2,BIO3,BIO15
Lobatae,SJR,Q. resinosa,3,2080,22.2179781,46.41,5.34,73.795,0.115,36.026,646.08,17.374,133.876,473.314,36.541,1.163,12.953,407.152,31.433,19.870825,-100.7759,16.6725,15.07498,64.57742,102.03483
Lobatae,SJR,Q. castanea,3,,16.99770817,51.6,5.7,71.054,0.158,33.743,385.532,16.807,119.564,463.32,38.449,1.583,12.05,292.777,24.296,19.870409,-100.7764,16.6725,15.07498,64.57742,102.03483
Quercus,SJR,Q. obtusata,3,,14.00560224,41.5,5.48,76.093,0.135,36.965,699.269,16.739,226.324,481.305,41.84,1.911,11.503,251.827,21.891,19.870447,-100.7765,16.6725,15.07498,64.57742,102.03483
Quercus,COR,Q. glaucoides,2,1943,20.46727782,41.04,5.35,96.037,0.113,40.027,538.752,17.852,166.976,465.621,46.71,3.283,9.968,141.85,14.23,19.894914,-100.868,17.8219,16.22336,65.67907,105.74081
Lobatae,COR,Q. castanea,2,,21.86783804,45.35,4.9,61.075,0.259,35.748,358.478,18.972,172.204,497.903,39.206,2.179,12.7,228.527,17.995,19.894815,-100.868,17.8219,16.22336,65.67907,105.74081
Quercus,CAG,Q. obtusata,5,2480,19.41685765,44.01,5.41,81.538,0.124,40.594,877.253,15.008,154.414,454.787,52.46,2.879,8.669,157.981,18.223,19.634111,-101.3484,14.1721,15.03174,66.43027,97.46492
Quercus,CAG,Q. rugosa,5,,13.11433664,47.07,5.41,52.919,0.208,33.064,579.12,16.687,95.704,492.226,42.939,2.54,11.463,193.79,16.905,19.634427,-101.3483,14.1721,15.03174,66.43027,97.46492
Lobatae,CAG,Q. calophylla,5,,21.46313071,50.53,5.87,67.889,0.108,37.09,644.985,17.686,74.331,433.332,43.648,2.284,9.928,189.746,19.112,19.634039,-101.3484,14.1721,15.03174,66.43027,97.46492
Quercus,CAG,Q. deserticola,5,,19.38502674,49.88,5.41,62.798,0.217,37.62,602.239,17.822,142.693,446.484,52.543,2.575,8.498,173.392,20.405,19.636502,-101.3501,14.1721,15.03174,66.43027,97.46492
Lobatae,CAG,Q. castanea,5,,18.90756303,45.31,5.6,72.196,0.131,32.929,399.832,18.5,115.966,445.115,48.233,2.446,9.229,181.958,19.717,19.63413,-101.3484,14.1721,15.03174,66.43027,97.46492
Lobatae,CAR,Q. crassifolia,1,2430,68.81843647,53.11,5.36,61.386,0.199,37.366,285.49,19.36,121.412,484.335,30.484,1.548,15.888,312.979,19.699,19.693543,-100.9121,15.0775,14.56653,65.8817,98.31721
