SECCION,POP,ESPECIE,INDIVIDUO,DAP,CLOROFILA,PH,AFE,GROSOR,AGUA,DENS_ESTOM,LONG_ESTOM,TANINOS,Ct,Nt,Pt
Lobatae,COR ,Q. castanea,1,15.915,39.97,5.29,67.27,0.277,36.58,395.45,19.36,163.384,497.903,39.206,2.179
Lobatae,COR ,Q. castanea,2,27.056,45.3,4.79,59.875,0.248,36.81,309.36,18.43,202.06,497.903,39.206,2.179
Lobatae,COR ,Q. castanea,3,22.282,43.13,5.03,65.414,0.268,34.78,305.8,18.22,151.167,497.903,39.206,2.179
Lobatae,COR ,Q. castanea,4,14.642,49.67,5.39,64.901,0.312,34.74,405.67,20.34,,497.903,39.206,2.179
Lobatae,COR ,Q. castanea,5,19.417,47.13,4.82,50.157,0.264,35.84,376.11,18.51,,497.903,39.206,2.179
Lobatae,COR ,Q. castanea,6,14.961,46.9,5.6,69.002,0.289,,,,,497.903,39.206,2.179
Lobatae,COR ,Q. castanea,7,31.194,46.5,4.38,58.23,0.252,,,,,497.903,39.206,2.179
Lobatae,COR ,Q. castanea,8,28.011,43,4.22,61.31,0.25,,,,,497.903,39.206,2.179
Lobatae,COR ,Q. castanea,9,22.282,47.37,4.62,64.916,0.346,,,,,497.903,39.206,2.179
Lobatae,COR ,Q. castanea,10,22.918,44.57,4.9,49.677,0.083,,,,,497.903,39.206,2.179
Quercus,CAG,Q. obtusata,1,10.823,39.23,5.04,89.449,0.087,39.8,663.96,16.95,160.314,454.787,52.46,2.879
Quercus,CAG,Q. obtusata,2,32.786,51.1,5.62,76.921,0.128,38.89,1144.05,12.08,153.377,454.787,52.46,2.879
Quercus,CAG,Q. obtusata,3,20.053,45.83,5.23,70.676,0.115,43.19,770.93,16.12,149.55,454.787,52.46,2.879
Quercus,CAG,Q. obtusata,4,13.687,39.97,5.53,82.842,0.09,39.95,795.29,16.61,,454.787,52.46,2.879
Quercus,CAG,Q. obtusata,5,18.144,45.73,5.09,96.381,0.112,41.14,1012.05,13.27,,454.787,52.46,2.879
Quercus,CAG,Q. obtusata,6,13.687,43.67,5.35,89.478,0.118,,,,,454.787,52.46,2.879
Quercus,CAG,Q. obtusata,7,13.051,47.97,5.59,88.284,0.124,,,,,454.787,52.46,2.879
Quercus,CAG,Q. obtusata,8,14.006,37.5,5.58,71.978,0.115,,,,,454.787,52.46,2.879
Quercus,CAG,Q. obtusata,9,21.963,45.13,5.69,67.833,0.127,,,,,454.787,52.46,2.879
Quercus,CAG,Q. rugosa,1,11.141,50.67,5.26,41.372,0.313,34.16,590.67,15.86,79.89,492.226,42.939,2.54
Quercus,CAG,Q. rugosa,2,9.549,45.3,5.05,49.978,0.295,34.79,592.43,16.46,84.341,492.226,42.939,2.54
Quercus,CAG,Q. rugosa,3,10.504,47.97,5.19,48.039,0.322,35.63,631.53,16.49,122.883,492.226,42.939,2.54
Quercus,CAG,Q. rugosa,4,5.411,47.83,5.32,49.485,0.191,34.77,531.16,16.7,,492.226,42.939,2.54
Quercus,CAG,Q. rugosa,5,9.549,48.53,5.15,64.355,0.144,25.97,549.8,17.93,,492.226,42.939,2.54
Quercus,CAG,Q. rugosa,6,14.961,57.3,5.33,54.065,0.176,,,,,492.226,42.939,2.54
Quercus,CAG,Q. rugosa,7,18.144,41.73,5.79,51.355,0.201,,,,,492.226,42.939,2.54
Quercus,CAG,Q. rugosa,8,26.42,39.27,5.79,51.239,0.17,,,,,492.226,42.939,2.54
Quercus,CAG,Q. rugosa,9,14.324,47.7,5.57,64.503,0.12,,,,,492.226,42.939,2.54
Quercus,CAG,Q. rugosa,10,11.141,44.4,5.7,54.797,0.149,,,,,492.226,42.939,2.54
Lobatae,CAG,Q. calophylla,1,17.825,49.5,5.77,70.666,0.105,39.27,612.88,19.88,68.144,433.332,43.648,2.284
Lobatae,CAG,Q. calophylla,2,18.462,53.13,5.68,59.707,0.138,37,439.23,20.88,82.678,433.332,43.648,2.284
Lobatae,CAG,Q. calophylla,3,34.696,44.17,5.98,65.426,0.096,36.87,882.84,12.3,72.17,433.332,43.648,2.284
Lobatae,CAG,Q. calophylla,4,27.056,51.9,5.75,64.195,0.119,37.63,,,,433.332,43.648,2.284
Lobatae,CAG,Q. calophylla,5,14.324,49.57,5.94,69.789,0.095,34.69,,,,433.332,43.648,2.284
Lobatae,CAG,Q. calophylla,6,25.146,54.07,6.07,78.116,0.085,,,,,433.332,43.648,2.284
Lobatae,CAG,Q. calophylla,7,12.732,51.43,5.92,67.326,0.12,,,,,433.332,43.648,2.284
Quercus,CAG,Q. deserticola,1,11.141,50.57,5.24,79.765,0.188,36.81,481.55,18.11,140.055,446.484,52.543,2.575
Quercus,CAG,Q. deserticola,2,13.051,57.3,5.85,70.522,0.245,36.83,529.02,16.79,136.904,446.484,52.543,2.575
Quercus,CAG,Q. deserticola,3,20.053,42.4,5.27,63.154,0.233,38.54,585.16,17.64,151.12,446.484,52.543,2.575
Quercus,CAG,Q. deserticola,4,11.459,55.4,5.46,69.418,0.272,38.99,735.46,18.81,,446.484,52.543,2.575
Quercus,CAG,Q. deserticola,5,14.961,47.17,5.27,49.75,0.226,36.93,680.01,17.76,,446.484,52.543,2.575
Quercus,CAG,Q. deserticola,6,31.831,46.1,5.53,55.245,0.229,,,,,446.484,52.543,2.575
Quercus,CAG,Q. deserticola,7,31.194,48.93,5.26,63.351,0.199,,,,,446.484,52.543,2.575
Quercus,CAG,Q. deserticola,8,17.189,47,5.87,58.919,0.226,,,,,446.484,52.543,2.575
Quercus,CAG,Q. deserticola,9,26.738,51,5.31,56.813,0.197,,,,,446.484,52.543,2.575
Quercus,CAG,Q. deserticola,10,16.234,53,5.05,61.041,0.161,,,,,446.484,52.543,2.575
Lobatae,CAG,Q. castanea,1,8.594,46.5,5.26,71.448,0.155,36.52,496.14,18.21,111.654,445.115,48.233,2.446
Lobatae,CAG,Q. castanea,2,29.921,40.9,5.92,62.597,0.139,28.32,328.33,18.29,115.703,445.115,48.233,2.446
Lobatae,CAG,Q. castanea,3,11.777,41,5.85,75.524,0.135,33.6,394,17.83,120.54,445.115,48.233,2.446
Lobatae,CAG,Q. castanea,4,19.417,47.67,5.59,71.807,0.115,37.13,382.32,18.6,,445.115,48.233,2.446
Lobatae,CAG,Q. castanea,5,29.921,40.9,6.08,66.258,0.125,29.09,398.37,19.57,,445.115,48.233,2.446
Lobatae,CAG,Q. castanea,6,14.006,47.3,5.09,68.101,0.124,,,,,445.115,48.233,2.446
Lobatae,CAG,Q. castanea,7,23.555,50.97,5.65,71.048,0.109,,,,,445.115,48.233,2.446
Lobatae,CAG,Q. castanea,8,7.321,44,5.2,84.216,0.099,,,,,445.115,48.233,2.446
Lobatae,CAG,Q. castanea,9,11.777,49.33,5.5,78.909,0.101,,,,,445.115,48.233,2.446
Lobatae,CAG,Q. castanea,10,32.786,44.53,5.89,72.056,0.215,,,,,445.115,48.233,2.446
Lobatae,CAR ,Q. crassifolia,1,88.172,55.63,5.08,74.469,0.229,39.91,265.58,19.14,130.326,484.335,30.484,1.548
Lobatae,CAR ,Q. crassifolia,2,74.166,44.4,5.83,53.738,0.257,33.46,338.54,20.42,115.141,484.335,30.484,1.548
Lobatae,CAR ,Q. crassifolia,3,57.296,55.43,5.54,53.177,0.167,34.87,277.57,19.59,118.768,484.335,30.484,1.548
Lobatae,CAR ,Q. crassifolia,4,117.456,55.83,5.47,69.068,0.212,41.44,275.8,19.35,,484.335,30.484,1.548
Lobatae,CAR ,Q. crassifolia,5,56.341,54.4,5.38,63.051,0.21,37.15,269.96,18.29,,484.335,30.484,1.548
Lobatae,CAR ,Q. crassifolia,6,73.529,50.2,5.36,70.571,0.176,,,,,484.335,30.484,1.548
Lobatae,CAR ,Q. crassifolia,7,64.935,53.43,5.39,59.376,0.204,,,,,484.335,30.484,1.548
Lobatae,CAR ,Q. crassifolia,8,48.383,52.3,4.98,64.334,0.136,,,,,484.335,30.484,1.548
Lobatae,CAR ,Q. crassifolia,9,54.749,56.03,5.22,58.305,0.196,,,,,484.335,30.484,1.548
Lobatae,CAR ,Q. crassifolia,10,53.158,53.47,5.4,47.776,0.209,,,,,484.335,30.484,1.548
